City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
164,Sharjah,AE,25.36,55.4,91.4,79,35,4.7,haze,0.0,0.0
165,Boueni,YT,-12.9,45.08,75.2,83,0,9.17,clear sky,0.0,0.0
166,Lokosovo,RU,61.13,74.82,51.76,95,100,8.66,overcast clouds,0.0,0.0
167,Ndola,ZM,-12.96,28.64,55.2,76,11,4.61,few clouds,0.0,0.0
168,Kawalu,ID,-7.38,108.21,73.99,84,76,1.79,broken clouds,0.0,0.0
169,Bilibino,RU,68.05,166.44,45.09,56,91,12.66,overcast clouds,0.0,0.0
170,Faanui,PF,-16.48,-151.75,77.04,75,98,16.51,overcast clouds,0.0,0.0
171,Dornstadt,DE,48.47,9.94,62.01,95,81,3.38,broken clouds,0.0,0.0
172,Qunduz,AF,36.73,68.86,71.44,22,8,5.32,clear sky,0.0,0.0
173,Cabo San Lucas,MX,22.89,-109.91,87.8,51,90,9.17,overcast clouds,0.0,0.0
174,Meulaboh,ID,4.14,96.13,78.6,82,20,4.83,few clouds,0.0,0.0
175,Adrar,MR,20.5,-10.07,96.58,9,0,16.28,clear sky,0.0,0.0
176,Puqi,CN,29.72,113.88,81.64,81,100,10.65,overcast clouds,0.0,0.0
177,Aneho,TG,6.23,1.6,78.8,88,40,10.29,scattered clouds,0.0,0.0
178,Durazno,UY,-33.41,-56.5,42.37,78,0,2.84,clear sky,0.0,0.0
179,Vanimo,PG,-2.67,141.3,85.55,65,73,5.17,light rain,0.2,0.0
180,Tual,ID,-5.67,132.75,80.73,82,100,21.16,light rain,0.24,0.0
181,Calvinia,ZA,-31.47,19.78,45.68,90,98,19.6,light rain,0.12,0.0
182,Lebedinyy,RU,58.52,125.52,69.03,51,16,0.81,light rain,0.49,0.0
183,Thompson,CA,55.74,-97.86,60.8,93,90,4.7,light intensity shower rain,0.0,0.0
184,Sao Filipe,CV,14.9,-24.5,74.46,82,1,11.18,clear sky,0.0,0.0
185,Tecolutilla,MX,18.28,-93.32,89.6,59,40,11.41,scattered clouds,0.0,0.0
186,Brae,GB,60.4,-1.35,57.2,93,98,16.11,overcast clouds,0.0,0.0
187,Katherine,AU,-14.47,132.27,77.0,53,68,13.87,broken clouds,0.0,0.0
188,Taunggyi,MM,20.78,97.03,66.09,98,98,4.45,overcast clouds,0.0,0.0
189,Leh,IN,34.17,77.58,53.24,43,0,6.08,clear sky,0.0,0.0
190,Puerto Morazan,NI,12.85,-87.17,76.51,78,100,7.18,overcast clouds,0.0,0.0
